id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
e42b7a9f-694c-4ff3-ab08-3455ad35f6e3,5,1,0,Kick Off,2,From Kick Off,Switzerland,Xherdan Shaqiri,Center Attacking Midfield,1.243733,3788765,3533,,,,Complete,5549,Manuel Obafemi Akanji,Ground Pass,Left Foot,59.673992,40.87281,37.9,43.8
d296459c-ae98-4494-982a-f568a3986ce2,8,1,0,,2,From Kick Off,Switzerland,Manuel Obafemi Akanji,Center Back,1.00939,3788765,5549,,,,Complete,3500,Granit Xhaka,Ground Pass,Right Foot,54.11152,39.140713,77.9,32.9
953e7865-4973-4262-9f38-5fc74199682f,12,1,0,,2,From Kick Off,Switzerland,Granit Xhaka,Left Defensive Midfield,0.99828,3788765,3500,,,,Complete,5548,Steven Zuber,Ground Pass,Left Foot,76.36777,21.462986,85.4,5.9
4a9f5b35-f0a1-4000-bf27-50982d5be765,15,1,0,,2,From Kick Off,Switzerland,Steven Zuber,Left Wing Back,0.858599,3788765,5548,,,,Complete,3533,Xherdan Shaqiri,Ground Pass,Right Foot,85.04147,2.85246,90.1,14.1
b5174543-a70f-422b-ba66-8f0d6475ac8a,17,1,0,,2,From Kick Off,Switzerland,Xherdan Shaqiri,Center Attacking Midfield,1.013468,3788765,3533,,,,Complete,3500,Granit Xhaka,Ground Pass,Left Foot,90.10531,16.298897,76.2,14.7
02802511-9272-4a88-b0c9-24249622dede,20,1,0,,2,From Kick Off,Switzerland,Granit Xhaka,Left Defensive Midfield,1.052318,3788765,3500,,,,Complete,5544,Ricardo Iván Rodríguez Araya,Ground Pass,Right Foot,70.461815,11.69744,56.7,10.4
b4b4f3cc-c76a-4217-8c77-1fbab179110a,22,1,0,,2,From Kick Off,Switzerland,Ricardo Iván Rodríguez Araya,Left Center Back,1.580319,3788765,5544,,,,Complete,5548,Steven Zuber,Ground Pass,Left Foot,58.2543,9.62603,73.4,3.6
04ba5d38-1d5a-4486-9f10-71ef08cc9351,26,1,0,,2,From Kick Off,Switzerland,Steven Zuber,Left Wing Back,0.720961,3788765,5548,True,,,Complete,3500,Granit Xhaka,Ground Pass,Right Foot,71.5,6.6,63.8,12.8
8b054796-7f95-4237-933e-0192ba0cc518,29,1,0,,2,From Kick Off,Switzerland,Granit Xhaka,Left Defensive Midfield,0.862716,3788765,3500,,,,Unknown,,,High Pass,Left Foot,61.653526,11.42298,77.3,11.7
11e0741f-bbd9-4d9b-8e8c-feb46ee2c485,32,1,0,Free Kick,3,From Free Kick,Turkey,Merih Demiral,Right Center Back,0.871696,3788765,23558,,,,Complete,12293,Kaan Ayhan,Ground Pass,Right Foot,30.521185,68.70274,42.8,61.3
