id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
9bbc877a-03d3-40f6-91c1-b104736fb47b,5,1,0,Kick Off,2,From Kick Off,Belgium,Romelu Lukaku Menama,Center Forward,1.118037,3788768,3289,,,,,Complete,5642,Axel Witsel,Ground Pass,Right Foot,59.504517,40.88355,52.5,41.6
2936e89a-d013-4bc8-8692-a586b16a35a0,8,1,0,,2,From Kick Off,Belgium,Axel Witsel,Left Defensive Midfield,2.094629,3788768,5642,,,,,Complete,13116,Jason Denayer,Ground Pass,Right Foot,51.38034,40.318256,40.1,68.7
2ada9728-ba54-4ace-a135-6d305a40332b,11,1,0,,2,From Kick Off,Belgium,Jason Denayer,Right Center Back,1.114381,3788768,13116,,,,,Complete,5639,Anga Dedryck Boyata,Ground Pass,Right Foot,40.70353,59.305634,36.8,55.4
7af7941b-13ba-4aba-9a2e-57709f3c3f50,14,1,0,,2,From Kick Off,Belgium,Anga Dedryck Boyata,Center Back,1.494841,3788768,5639,,,,,Complete,3089,Kevin De Bruyne,Ground Pass,Right Foot,37.77967,45.684002,48.0,19.4
a1f7f969-38c5-474d-b571-a215f6125a7d,17,1,0,,2,From Kick Off,Belgium,Kevin De Bruyne,Right Defensive Midfield,2.451711,3788768,3089,,,,,Complete,6332,Thomas Vermaelen,Ground Pass,Left Foot,57.311684,9.785355,48.4,22.5
85fbd8ad-8b30-45da-a651-2b9294c3b261,19,1,0,,2,From Kick Off,Belgium,Thomas Vermaelen,Left Center Back,1.532126,3788768,6332,,,,,Complete,5639,Anga Dedryck Boyata,Ground Pass,Left Foot,48.461975,21.00574,44.0,40.3
3f098875-e3c4-4d7a-b640-327cfebda798,22,1,0,,2,From Kick Off,Belgium,Anga Dedryck Boyata,Center Back,1.787774,3788768,5639,,,,,Complete,13116,Jason Denayer,Ground Pass,Left Foot,44.41848,41.92727,49.6,71.6
31398f81-104d-450c-8c6b-9f51f4afcaf2,25,1,0,,2,From Kick Off,Belgium,Jason Denayer,Right Center Back,1.032447,3788768,13116,,,,,Complete,16559,Leandro Trossard,Ground Pass,Right Foot,54.37731,68.053764,62.6,75.3
e15a3462-a6ba-41ac-9dbe-6cf7c3cac50e,28,1,0,,2,From Kick Off,Belgium,Leandro Trossard,Right Wing Back,1.626993,3788768,16559,,,,,Complete,13116,Jason Denayer,Ground Pass,Right Foot,63.414642,76.77712,54.2,72.9
ccf4a6cf-059a-4999-b4f5-410e6d258b43,30,1,0,,2,From Kick Off,Belgium,Jason Denayer,Right Center Back,1.906633,3788768,13116,,,,,Complete,5639,Anga Dedryck Boyata,Ground Pass,Right Foot,53.99089,66.254,46.5,56.3
