id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
53af74ce-3afb-4227-aec2-61e47474ef01,5,1,0,Kick Off,2,From Kick Off,Czech Republic,Patrik Schick,Center Forward,1.826468,3788760,7044,,,,0.9959509802474532,Complete,30328,Ondrej Celustka,Ground Pass,Left Foot,60.18271,38.634113,36.6,41.8
e22c065a-2f88-45b6-a8f4-52ce2f135a30,8,1,0,,2,From Kick Off,Czech Republic,Ondrej Celustka,Right Center Back,3.15779,3788760,30328,,,,0.4897381788974264,Incomplete,4875,Jan Bořil,High Pass,Right Foot,35.91965,39.770714,79.1,15.7
8c6089b1-ad97-444e-846f-6fe4c136d165,12,1,0,Recovery,2,From Kick Off,Czech Republic,Ondrej Celustka,Right Center Back,2.846209,3788760,30328,,,,0.9679666771158492,Complete,16570,Vladimír Coufal,Low Pass,Other,50.558434,35.3228,37.4,43.6
1faf6f0b-3e02-4b4d-bc81-5a4c7d008be8,15,1,0,,2,From Kick Off,Czech Republic,Vladimír Coufal,Right Back,2.448327,3788760,16570,,,,0.988991627716634,Complete,11541,Tomáš Vaclík,Ground Pass,Right Foot,37.029675,48.734962,6.9,44.1
858ee83f-759f-4113-8f32-69d78785702a,18,1,0,,2,From Kick Off,Czech Republic,Tomáš Vaclík,Goalkeeper,2.682451,3788760,11541,,,,0.9649049298677514,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,4.9651084,50.991753,19.3,14.1
ae0e7a39-1307-42eb-9b1b-b5420af41af9,21,1,0,,2,From Kick Off,Czech Republic,Tomáš Kalas,Left Center Back,1.131777,3788760,13197,,,,0.9430756505176996,Complete,4870,Tomáš Souček,Ground Pass,Right Foot,21.3,10.9,34.4,15.9
aa0d4e4f-0c9b-4a82-8afd-d18c48764368,24,1,0,,2,From Kick Off,Czech Republic,Tomáš Souček,Left Center Midfield,1.301313,3788760,4870,,,,0.9916409390405596,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,36.46829,18.46862,25.5,4.9
cc00e424-8ee1-47bb-bc6c-f4c097da7b55,27,1,0,,2,From Kick Off,Czech Republic,Tomáš Kalas,Left Center Back,1.285915,3788760,13197,,,,0.9816585738399759,Complete,16469,Tomáš Holeš,Ground Pass,Right Foot,24.458961,8.345189,29.7,15.1
099a4093-3c4a-467c-ab49-30ca0254d421,33,1,0,Free Kick,3,From Free Kick,Czech Republic,Ondrej Celustka,Right Center Back,2.657458,3788760,30328,True,,,0.658579373242294,Incomplete,4875,Jan Bořil,High Pass,Right Foot,43.5,18.8,71.8,2.0
13fbb50f-8b52-49fc-8b17-86c18f2f0117,36,1,0,Throw-in,4,From Throw In,Czech Republic,Tomáš Souček,Left Center Midfield,2.552976,3788760,4870,True,,,0.6438918587362261,Complete,4875,Jan Bořil,Low Pass,,70.6,0.1,94.6,1.8
220a8c00-8e4e-4f32-8ffa-eb1d5528abca,40,1,0,,4,From Throw In,Czech Republic,Jan Bořil,Left Back,0.617061,3788760,4875,,True,,0.6667634648687432,Complete,8095,Jakub Jankto,Ground Pass,Right Foot,94.711716,4.5413857,99.3,0.6
25732bba-edfb-435b-b4ab-a3dfe0f2d82c,44,1,0,,4,From Throw In,Czech Republic,Jakub Jankto,Left Wing,0.099707,3788760,8095,,True,,0.00456608356421045,Incomplete,8579,Vladimír Darida,Ground Pass,Right Foot,96.59329,1.7500379,97.7,2.3
6fbc15dd-12af-4fbe-a4b2-10d2dc162148,50,1,1,,4,From Throw In,Czech Republic,Jan Bořil,Left Back,1.501214,3788760,4875,,True,,0.9057726758217486,Complete,13197,Tomáš Kalas,Low Pass,Right Foot,80.741714,7.429229,57.2,5.3
0118a1a8-a619-42cf-b21c-b7b54101285a,54,1,1,,4,From Throw In,Czech Republic,Tomáš Kalas,Left Center Back,0.770391,3788760,13197,,,,0.563421775583837,Complete,8579,Vladimír Darida,High Pass,Right Foot,63.8483,18.619415,84.2,1.4
bd8f5e39-cbe7-4a24-b36e-49bebf366fb0,57,1,1,,4,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,3.379023,3788760,8579,,,,0.2000611465895052,Incomplete,8095,Jakub Jankto,High Pass,Other,83.79333,3.1858118,107.0,20.4
4b6c1d9c-1358-4517-8693-feb7e4f48369,61,1,1,,4,From Throw In,Croatia,Dejan Lovren,Right Center Back,1.533011,3788760,3471,,,,0.821135919512876,Out,,,High Pass,Right Foot,11.3317,57.66802,13.3,80.0
28de030d-6d82-4cb8-9243-48ac9deb577b,62,1,1,Throw-in,5,From Throw In,Czech Republic,Jan Bořil,Left Back,1.748756,3788760,4875,,,,0.9687431755039276,Complete,8579,Vladimír Darida,Low Pass,,105.9,0.1,93.1,3.4
47285858-2524-4b7e-814b-738db7852dc6,66,1,1,,5,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,0.892554,3788760,8579,,True,,0.805538084881456,Complete,4875,Jan Bořil,Ground Pass,Left Foot,96.1,2.8,105.0,1.4
faa9e64b-0c2b-4c62-9583-555f3d7c76d4,70,1,1,,5,From Throw In,Czech Republic,Jan Bořil,Left Back,0.988235,3788760,4875,,True,,0.9813353169785124,Complete,16469,Tomáš Holeš,Ground Pass,Right Foot,102.85006,6.6590266,91.3,10.4
d91f7650-c9e9-4bf1-9bc0-913a62affbdb,73,1,1,,5,From Throw In,Czech Republic,Tomáš Holeš,Right Center Midfield,1.843427,3788760,16469,,,,0.7682498456537422,Incomplete,8095,Jakub Jankto,Ground Pass,Right Foot,91.41869,16.81929,110.3,21.5
eed112fb-34b8-4617-ac83-f457c901ed38,76,1,1,Throw-in,6,From Throw In,Czech Republic,Jan Bořil,Left Back,1.535221,3788760,4875,,,,0.9549137866598892,Incomplete,7044,Patrik Schick,Low Pass,,78.04179,2.8409674,80.9,18.2
c6b4da8e-9699-44d8-ab91-56edce8f6478,80,1,1,Recovery,6,From Throw In,Czech Republic,Tomáš Kalas,Left Center Back,0.743811,3788760,13197,,True,,0.9320429895633656,Complete,4875,Jan Bořil,Ground Pass,Right Foot,63.6,3.1,71.4,5.6
065d7eb0-755a-482f-aee6-6dac62375f8f,84,1,1,,6,From Throw In,Czech Republic,Jan Bořil,Left Back,0.955776,3788760,4875,,True,,0.9266419436101876,Complete,4870,Tomáš Souček,Ground Pass,Right Foot,71.40067,14.370939,81.3,7.1
229ad33b-f72b-4c73-93c3-2d041d0c273d,88,1,1,,6,From Throw In,Czech Republic,Tomáš Souček,Left Center Midfield,0.730944,3788760,4870,,,,0.9576166231195568,Complete,8095,Jakub Jankto,Ground Pass,No Touch,81.08469,12.170099,88.6,2.2
40d211e3-d07d-4e8c-b141-860fe9f777a4,91,1,1,,6,From Throw In,Czech Republic,Jakub Jankto,Left Wing,0.570491,3788760,8095,,,,0.0900865697922582,Incomplete,16472,Lukáš Masopust,Low Pass,Left Foot,110.57921,17.475029,113.3,35.2
73b0974e-8ed5-405b-912c-9636d2d10513,100,1,2,Recovery,6,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,0.416182,3788760,8579,,,,0.38142699649539097,Incomplete,,,Low Pass,Right Foot,118.28862,65.12562,115.4,54.6
f8f6b0ec-53f7-477b-8101-06ea0b89799c,104,1,2,Recovery,6,From Throw In,Czech Republic,Ondrej Celustka,Right Center Back,1.262086,3788760,30328,,,,0.9825747608766118,Complete,16570,Vladimír Coufal,Ground Pass,Left Foot,100.39627,50.321156,96.7,52.2
984cbe24-ad1f-47e1-8e90-4d36f54f29ad,108,1,2,,6,From Throw In,Czech Republic,Vladimír Coufal,Right Back,1.767158,3788760,16570,,,,0.9829112106297756,Complete,16469,Tomáš Holeš,Ground Pass,Right Foot,95.99779,55.879883,88.8,39.2
3c578fda-5158-48bd-8e41-ec5705549aed,112,1,2,,6,From Throw In,Czech Republic,Tomáš Holeš,Right Center Midfield,1.12807,3788760,16469,,True,,0.9891042864958852,Complete,16570,Vladimír Coufal,Ground Pass,Right Foot,88.002235,44.97471,80.0,52.3
2974d672-538c-4111-8d06-149975d81877,115,1,2,,6,From Throw In,Czech Republic,Vladimír Coufal,Right Back,0.405913,3788760,16570,,,,0.17469853195327614,Incomplete,16472,Lukáš Masopust,High Pass,Right Foot,70.7,77.7,74.7,75.8
d29f95d0-46e4-45c1-8044-58fb1efbe2f0,118,1,2,Throw-in,7,From Throw In,Czech Republic,Vladimír Coufal,Right Back,2.128915,3788760,16570,,,,0.650284424554015,Complete,16472,Lukáš Masopust,Low Pass,,86.04731,80.467606,111.0,76.8
2ce4ab72-2415-45ad-83b0-530113bccff6,122,1,2,,7,From Throw In,Czech Republic,Lukáš Masopust,Right Wing,0.301028,3788760,16472,,True,,0.056281286923082464,Incomplete,16570,Vladimír Coufal,Ground Pass,Right Foot,110.311554,77.889885,107.0,78.2
015f3f70-6b97-4047-93bf-ed5799cbab56,125,1,2,Throw-in,8,From Throw In,Czech Republic,Vladimír Coufal,Right Back,1.776972,3788760,16570,,,,0.7080821169993433,Complete,16472,Lukáš Masopust,Low Pass,,103.9,80.0,116.8,73.0
93212d68-0783-492b-8c7d-e27a74a43ef0,132,1,3,,8,From Throw In,Czech Republic,Lukáš Masopust,Right Wing,0.115486,3788760,16472,,,,0.004356197721831771,Incomplete,4870,Tomáš Souček,Low Pass,Right Foot,119.03399,63.598988,117.4,60.2
6efc44e5-b0c0-4829-9471-5e451d32f01f,135,1,3,Corner,9,From Corner,Czech Republic,Jakub Jankto,Left Wing,1.438932,3788760,8095,,,,0.35518817554405857,Complete,4870,Tomáš Souček,High Pass,Left Foot,120.0,80.0,112.7,45.5
4392a4ed-c405-41ed-8ba1-5ca457ac3bdc,140,1,3,Goal Kick,10,From Goal Kick,Croatia,Dominik Livaković,Goalkeeper,3.573699,3788760,16531,,,,0.31234152340487903,Incomplete,5474,Ivan Perišić,High Pass,Right Foot,7.0,36.1,76.4,68.6
403cd36f-9c22-40ba-a116-3dd7b8ab6dac,144,1,4,Throw-in,11,From Throw In,Croatia,Šime Vrsaljko,Right Back,1.285825,3788760,5461,,,,0.8150128975278956,Complete,5465,Ante Rebić,High Pass,,71.82094,68.011505,84.6,67.0
5b3c7f0e-e8c1-405d-ad93-8acb1ac7e619,149,1,4,Recovery,11,From Throw In,Czech Republic,Jakub Jankto,Left Wing,0.582719,3788760,8095,,,,0.5612650523956173,Incomplete,16472,Lukáš Masopust,Low Pass,Right Foot,33.738434,13.114764,45.2,10.4
58ec8f60-bee6-44ee-962a-baa49f602f88,151,1,4,Interception,11,From Throw In,Croatia,Luka Modrić,Right Center Midfield,2.137005,3788760,5463,,,,0.8584192135171519,Complete,8946,Josip Brekalo,High Pass,Right Foot,74.815346,63.419193,77.6,57.3
67cbcd8c-6850-40a2-9a9e-44142f360699,155,1,4,,11,From Throw In,Croatia,Josip Brekalo,Left Wing,0.707532,3788760,8946,,True,,0.9863184947179328,Complete,5463,Luka Modrić,Ground Pass,Right Foot,77.64987,45.39203,71.5,64.2
49719ca2-2da5-478e-9eca-3c191626bd7d,160,1,4,Recovery,11,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,0.111302,3788760,8579,,,,0.03949187584006924,Incomplete,,,Ground Pass,Right Foot,48.91404,36.508434,50.6,31.7
c1134154-ccdd-486a-8e2f-08b7c115fda0,170,1,4,,12,Regular Play,Czech Republic,Patrik Schick,Center Forward,1.664356,3788760,7044,,True,,0.9615426976648356,Complete,8095,Jakub Jankto,Ground Pass,Left Foot,80.19476,31.466185,91.9,4.6
0a65d90c-755a-4b56-a415-60df785ed1ca,173,1,4,,12,Regular Play,Czech Republic,Jakub Jankto,Left Wing,3.295868,3788760,8095,,,,0.1593471473457568,Complete,16570,Vladimír Coufal,High Pass,Left Foot,101.153725,9.933759,114.1,63.1
f67713ba-cb90-48c7-ba41-7294194d6b44,176,1,4,,12,Regular Play,Czech Republic,Vladimír Coufal,Right Back,1.798045,3788760,16570,,,,0.10664315557299532,Incomplete,7044,Patrik Schick,High Pass,Right Foot,113.7384,64.4185,113.3,37.8
33c4a513-be00-435c-83da-9c6109275ccc,179,1,4,Recovery,12,Regular Play,Czech Republic,Jan Bořil,Left Back,1.088445,3788760,4875,,,,0.8238570160259161,Complete,16469,Tomáš Holeš,High Pass,Head,108.33202,32.205414,100.4,27.0
0b5c2aa8-be45-4f2a-91c4-0fce17af218a,182,1,4,,12,Regular Play,Czech Republic,Tomáš Holeš,Right Center Midfield,1.258214,3788760,16469,,True,,0.6122607487610124,Complete,8095,Jakub Jankto,Low Pass,Head,99.27193,30.230925,103.6,19.0
08484ac5-e923-4dfa-85ee-4c2e60ac536e,189,1,4,,12,Regular Play,Croatia,Šime Vrsaljko,Right Back,2.813599,3788760,5461,,,,0.20833745673927356,Unknown,5465,Ante Rebić,High Pass,Right Foot,20.53926,77.77914,72.2,73.4
a9734ab3-f4d9-463c-a5e4-04a0f08d709f,193,1,5,Free Kick,13,From Free Kick,Czech Republic,Tomáš Souček,Left Center Midfield,0.977393,3788760,4870,True,,,0.9805807401778652,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,42.9,7.3,45.0,3.8
7c90ebb4-a602-4d55-b413-ff5e81be864a,195,1,5,,13,From Free Kick,Czech Republic,Tomáš Kalas,Left Center Back,1.861966,3788760,13197,,,,0.9964332520425352,Complete,4870,Tomáš Souček,Ground Pass,Left Foot,43.612396,8.301647,34.6,6.7
a3e59de4-4db2-4030-8a6d-95e60f45221b,198,1,5,,13,From Free Kick,Czech Republic,Tomáš Souček,Left Center Midfield,2.052214,3788760,4870,,,,0.9626394580970972,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,40.70099,29.918089,51.4,2.8
7b8eb984-03ec-440e-8ac3-20f30f976c7b,201,1,5,,13,From Free Kick,Czech Republic,Tomáš Kalas,Left Center Back,1.005373,3788760,13197,,,,0.9202678663999712,Complete,8095,Jakub Jankto,Ground Pass,Right Foot,53.956394,7.1160364,68.0,5.1
2516b4af-e31a-4aff-bce3-678af4d12596,204,1,5,,13,From Free Kick,Czech Republic,Jakub Jankto,Left Wing,1.042797,3788760,8095,,,,0.9904623009575884,Complete,13197,Tomáš Kalas,Ground Pass,Left Foot,64.37027,9.191687,49.8,3.8
e20fa58e-181b-47cc-b433-2aafd582bb00,207,1,5,,13,From Free Kick,Czech Republic,Tomáš Kalas,Left Center Back,1.274045,3788760,13197,,,,0.9949750452985162,Complete,4870,Tomáš Souček,Ground Pass,Right Foot,50.1032,8.160565,41.1,9.3
73eaa678-ed74-40ad-af3c-5d60e21cf734,211,1,5,,13,From Free Kick,Czech Republic,Tomáš Souček,Left Center Midfield,1.898405,3788760,4870,,True,,0.9848972385044932,Complete,30328,Ondrej Celustka,Ground Pass,Right Foot,35.85143,35.706726,42.7,63.3
bccbb2f5-98dd-401f-9667-5a8cad60ee8a,214,1,5,,13,From Free Kick,Czech Republic,Ondrej Celustka,Right Center Back,1.398851,3788760,30328,,,,0.9238469647807162,Complete,16570,Vladimír Coufal,Ground Pass,Right Foot,40.098183,74.30266,58.1,62.3
2781e54e-91ca-48e8-bf55-80fa3dd8f6db,219,1,5,,13,From Free Kick,Czech Republic,Vladimír Coufal,Right Back,1.023703,3788760,16570,,,,0.9946230615060094,Complete,4870,Tomáš Souček,Ground Pass,Left Foot,49.486225,63.67571,32.8,56.7
de50f7bb-4b49-4d53-8ff7-19f9e49d55bc,223,1,5,,13,From Free Kick,Czech Republic,Tomáš Souček,Left Center Midfield,3.591613,3788760,4870,,True,,0.9289675118540288,Complete,11541,Tomáš Vaclík,Ground Pass,Right Foot,24.374756,50.04998,4.3,26.6
15a509b4-94ec-4783-a3c3-b9e885d121ab,227,1,5,,13,From Free Kick,Czech Republic,Tomáš Vaclík,Goalkeeper,2.557322,3788760,11541,,True,,0.3366111997769425,Incomplete,4875,Jan Bořil,High Pass,Left Foot,5.007425,28.744762,30.2,2.4
6198a401-48b9-4fc3-b80a-5be1dcc0ed6b,232,1,5,,14,Regular Play,Croatia,Ivan Perišić,Right Wing,1.859016,3788760,5474,,,,0.2655885732541565,Incomplete,5465,Ante Rebić,High Pass,Right Foot,116.03114,73.08489,112.4,36.0
