id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
c899e330-8b10-4a15-98b2-e3ec6f8b10b3,5,1,00:00:00.200,0,Kick Off,2,From Kick Off,North Macedonia,Goran Pandev,Center Forward,0.703428,3788770,7146,,,,0.9970948079824828,Complete,16535,Eljif Elmas,Ground Pass,Left Foot,60.0,40.0,52.3,38.8
d7233e1e-edf1-4393-8bc2-5c4016d06c43,8,1,00:00:01.741,0,,2,From Kick Off,North Macedonia,Eljif Elmas,Center Attacking Midfield,2.20476,3788770,16535,,,,0.9935848463657242,Complete,10592,Stefan Ristovski,Ground Pass,Right Foot,53.37735,42.076668,41.4,68.9
86db9c5f-cc2c-43dc-a2e1-9cd09cc61dc1,11,1,00:00:04.064,0,,2,From Kick Off,North Macedonia,Stefan Ristovski,Right Back,1.265739,3788770,10592,,,,0.9941323122823424,Complete,30644,Darko Velkovski,Ground Pass,Right Foot,40.59461,66.99326,28.7,51.6
bb03e7a4-17be-4a81-a2c6-7449c8109e1d,14,1,00:00:06.083,0,,2,From Kick Off,North Macedonia,Darko Velkovski,Right Center Back,2.148927,3788770,30644,,,,0.9870227018915054,Complete,46906,Visar Musliu,Ground Pass,Right Foot,27.006481,55.035675,16.1,24.7
c6744feb-7e46-4b26-845b-d7f3eac7b199,17,1,00:00:09.304,0,,2,From Kick Off,North Macedonia,Visar Musliu,Left Center Back,1.055046,3788770,46906,,,,0.935568051062882,Complete,6782,Enis Bardhi,Ground Pass,Right Foot,15.919797,27.484247,28.0,4.7
00793edd-daad-4e20-a043-ae584b99abf5,20,1,00:00:14.687,0,,2,From Kick Off,North Macedonia,Enis Bardhi,Left Defensive Midfield,1.292023,3788770,6782,,,,0.3084572722528024,Incomplete,7146,Goran Pandev,High Pass,Left Foot,30.0023,7.364536,65.8,8.0
ff8902af-d423-4ed7-92b8-89ae89b89396,22,1,00:00:15.979,0,Recovery,3,Regular Play,Netherlands,Matthijs de Ligt,Center Back,2.141708,3788770,8069,,,,0.8641619224542738,Complete,8118,Frenkie de Jong,Low Pass,Right Foot,55.69766,67.32054,70.8,78.0
ef679f66-e518-4593-a303-37f49331b7c6,31,1,00:00:20.320,0,,3,Regular Play,Netherlands,Frenkie de Jong,Right Defensive Midfield,1.523329,3788770,8118,,,,0.9897943410920084,Complete,7787,Stefan de Vrij,Ground Pass,Right Foot,64.12666,74.94768,49.6,63.7
a1abb02e-4662-419b-81f4-b1011d6e4560,34,1,00:00:22.807,0,,3,Regular Play,Netherlands,Stefan de Vrij,Right Center Back,2.58997,3788770,7787,,,,0.9904323911417392,Complete,8069,Matthijs de Ligt,Ground Pass,Right Foot,47.41247,62.350395,39.9,48.8
03183621-b2d1-45a6-8e80-8292ac1d01af,37,1,00:00:26.158,0,,3,Regular Play,Netherlands,Matthijs de Ligt,Center Back,2.348736,3788770,8069,,,,0.983456422862792,Complete,3311,Daley Blind,Ground Pass,Right Foot,37.542465,48.48453,37.2,27.2
9c53b39e-b944-433b-8d92-94fa4d654a46,40,1,00:00:33.352,0,,3,Regular Play,Netherlands,Daley Blind,Left Center Back,1.45895,3788770,3311,,,,0.9703785236857466,Complete,8118,Frenkie de Jong,Ground Pass,Left Foot,43.89912,28.925877,54.9,45.8
8344839a-ac6d-43c7-b02c-995d6a701e28,43,1,00:00:36.339,0,,3,Regular Play,Netherlands,Frenkie de Jong,Right Defensive Midfield,1.787411,3788770,8118,,,,0.9643772863486056,Complete,8125,Denzel Dumfries,Ground Pass,Right Foot,58.098186,46.87429,73.8,77.6
