id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
468a4d8a-2b07-4c53-86ba-d64620e917c1,5,1,00:00:00.773,0,Kick Off,2,From Kick Off,Slovakia,Marek Hamšík,Center Attacking Midfield,1.483618,3788775,7025,,,,0.9973275538456448,Complete,6990,Milan Škriniar,Ground Pass,Right Foot,58.372826,40.879944,37.7,31.4
08c78a78-96c3-4d02-a848-296f72688ed0,8,1,00:00:04.172,0,,2,From Kick Off,Slovakia,Milan Škriniar,Left Center Back,3.267117,3788775,6990,,,,0.43370226672056905,Incomplete,8967,Ondrej Duda,High Pass,Right Foot,37.796368,38.83002,84.8,66.2
df5d7b5a-f55c-4721-af0f-faf70c67fa48,12,1,00:00:10.159,0,Recovery,2,From Kick Off,Slovakia,Ľubomír Šatka,Right Center Back,1.081415,3788775,30397,,,,0.5795423161018307,Incomplete,7025,Marek Hamšík,High Pass,Head,61.695496,59.487473,70.6,55.1
6a3a62a6-f15c-4de3-999d-cc9187b72a40,14,1,00:00:11.241,0,Interception,3,Regular Play,Spain,Jorge Resurrección Merodio,Right Center Midfield,1.440946,3788775,5199,,,,0.9757763141214242,Complete,6720,Pablo Sarabia García,Low Pass,Right Foot,51.207405,22.814453,55.4,39.1
3e256c0c-8a5e-40e4-99cb-e3eacfd9a0ec,17,1,00:00:13.738,0,,3,Regular Play,Spain,Pablo Sarabia García,Right Wing,0.697638,3788775,6720,,,,0.9915265313043417,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Right Foot,58.346172,33.75231,53.9,32.5
73ed8671-3bcb-4531-8ad5-dc5ef4178783,19,1,00:00:14.436,0,,3,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,2.5351,3788775,5203,,,,0.9710961007897624,Complete,3957,César Azpilicueta Tanco,Ground Pass,Left Foot,53.71076,31.44302,56.9,68.6
3d5fdca8-bd01-4a89-9cf5-8e6e38b87d4e,22,1,00:00:22.110,0,,3,Regular Play,Spain,César Azpilicueta Tanco,Right Back,1.213172,3788775,3957,,,,0.9941115996821784,Complete,31953,Eric García Martret,Ground Pass,Right Foot,63.804253,60.725582,54.8,47.3
236e0ead-6c89-4c0c-815d-c69368602357,25,1,00:00:25.379,0,,3,Regular Play,Spain,Eric García Martret,Right Center Back,1.432583,3788775,31953,,,,0.9739225975537206,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,57.125916,45.935238,66.1,69.7
946485b5-be5b-4477-86f4-ec272461acf5,28,1,00:00:28.412,0,,3,Regular Play,Spain,César Azpilicueta Tanco,Right Back,0.75282,3788775,3957,,,,0.9475526522182136,Complete,6720,Pablo Sarabia García,Ground Pass,Right Foot,69.952126,60.261883,84.7,63.1
85834345-ae13-4cd0-bdd0-27fd60f67496,31,1,00:00:30.824,0,,3,Regular Play,Spain,Pablo Sarabia García,Right Wing,1.08525,3788775,6720,,,,0.9748800679757496,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Left Foot,79.82806,65.34138,80.8,76.8
