id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
c3cecb03-86fe-4c47-903f-5f067d92f026,5,1,00:00:01.286,0,Kick Off,2,From Kick Off,Ukraine,Roman Yaremchuk,Left Center Forward,0.911255,3795187,23649,,,,,0.9970878326594468,Complete,16514,Serhii Sydorchuk,Ground Pass,Left Foot,60.0,40.0,45.4,42.1
d1cfa175-e554-4fb4-b3b0-7432169db5dc,8,1,00:00:03.093,0,,2,From Kick Off,Ukraine,Serhii Sydorchuk,Center Defensive Midfield,1.705711,3795187,16514,,,,,0.994220194664772,Complete,31900,Oleksandr Karavaev,Ground Pass,Right Foot,46.09499,41.921257,34.9,72.7
8a919718-44ca-4e9a-999c-83e9bd8b5064,11,1,00:00:05.887,0,,2,From Kick Off,Ukraine,Oleksandr Karavaev,Right Wing Back,1.336127,3795187,31900,,,,,0.9874742376244218,Complete,39136,Illia Zabarnyi,Ground Pass,Right Foot,33.842987,73.89553,19.3,65.8
60b877ac-f1bc-4d05-9f25-3ea2581f1a53,15,1,00:00:08.059,0,,2,From Kick Off,Ukraine,Illia Zabarnyi,Right Center Back,1.833822,3795187,39136,True,,,,0.33076284938945577,Incomplete,8830,Andriy Yarmolenko,High Pass,Right Foot,17.842014,68.07104,48.6,64.5
94265a66-00e6-428d-9bf3-706d4d9e71b1,17,1,00:00:09.893,0,Interception,2,From Kick Off,England,Declan Rice,Left Defensive Midfield,2.142431,3795187,3943,,,,,0.29593114475396143,Complete,10955,Harry Kane,High Pass,Head,70.6477,19.37973,90.9,23.1
7bedabf2-1d10-4ddf-8dbf-3017de31f4d8,22,1,00:00:13.043,0,Recovery,2,From Kick Off,Ukraine,Mykola Shaparenko,Right Center Midfield,2.253343,3795187,21294,True,,,,0.9222613106477959,Complete,31900,Oleksandr Karavaev,Low Pass,Right Foot,28.830044,61.939354,14.6,64.5
48544a77-468d-4131-b6ae-7a9d89ba3b97,26,1,00:00:17.044,0,,2,From Kick Off,Ukraine,Oleksandr Karavaev,Right Wing Back,1.818169,3795187,31900,True,,,,0.16437276883919955,Incomplete,8830,Andriy Yarmolenko,High Pass,Right Foot,9.3,75.9,41.6,74.6
71ad5d47-0fff-4b44-b0ff-36984777c174,28,1,00:00:18.862,0,Interception,2,From Kick Off,England,Luke Shaw,Left Back,1.220636,3795187,3382,,,,,0.4309344621904577,Incomplete,7843,Mason Mount,High Pass,Head,77.53678,4.18601,88.6,5.1
5da2dc5b-a70f-4169-b618-5ec2c928cad5,30,1,00:00:20.083,0,Interception,2,From Kick Off,Ukraine,Mykola Shaparenko,Right Center Midfield,5.272546,3795187,21294,,,,,0.6060077339032321,Incomplete,3575,Oleksandr Zinchenko,High Pass,Right Foot,30.61065,73.201416,47.5,21.3
fa741d41-8ce8-44a0-97ab-c92e0c12c3b8,32,1,00:00:25.355,0,Recovery,3,Regular Play,England,Kyle Walker,Right Back,0.849171,3795187,3205,,,,,0.9960552705647082,Complete,12423,Jadon Sancho,Ground Pass,Right Foot,71.47209,54.93744,76.6,70.8
bb8067a0-0c4e-4515-a383-1299d77d09de,36,1,00:00:28.560,0,,3,Regular Play,England,Jadon Sancho,Right Wing,1.845695,3795187,12423,,,,,0.9899212737476851,Complete,3244,John Stones,Ground Pass,Left Foot,63.883484,62.387623,48.6,62.6
fe0fc334-526c-4b4b-ba59-0c0de66bb3bf,39,1,00:00:32.651,0,,3,Regular Play,England,John Stones,Right Center Back,2.183082,3795187,3244,,,,,0.9732116773811972,Complete,3336,Harry Maguire,Ground Pass,Right Foot,47.26238,53.55771,47.5,28.2
5d352ca6-ae8f-45bc-baf8-2382330c8c9e,42,1,00:00:35.905,0,,3,Regular Play,England,Harry Maguire,Left Center Back,1.376523,3795187,3336,,,,,0.9130895418713928,Complete,3233,Raheem Sterling,Ground Pass,Right Foot,52.952255,21.553005,70.0,11.5
3259f4c2-02ab-4f6a-b0f6-e8d0463b86da,45,1,00:00:39.523,0,,3,Regular Play,England,Raheem Sterling,Left Wing,0.996585,3795187,3233,,,,,0.8982007797624515,Complete,3382,Luke Shaw,Ground Pass,Right Foot,76.458046,5.823975,81.8,4.4
